Age,Возраст
Gender,Пол
Site,Регион
Height,Рост
Weight,Масса
Body mass index,Индекс массы тела. Комбинация роста и веса.
Systolic blood pressure,"Систолическое артериальной давление (САД), мм рт. ст. (В нотации 120/80 САД = 120)"
Diastolic blood pressure,"Диастолическое артериальное давление (ДАД), мм рт. ст. (в нотации 120/80 ДАД = 80)"
Fasting plasma glucose,Концентрация глюкозы в крови натощак.
Cholesterol,"Холестерол. Высокое значение связано с неправильным питанием, ожирением, атеросклерозом, сахарным диабетом."
Triglyceride,Триглицериды. Количество нейтральных жиров в крови.
High-density lipoprotein cholesterol,"Холестерол липопротеидов высокой плотности (ЛПВП). Липопротеиды - белковые комплексы, переносящие в крови жиры. При ожирении и связанных проблемах концентрация ЛПВП снижается."
Low-density lipoprotein cholesterol,Липопротеиды низкой плотности. Повышение указывает на проблемы в метаболизме липидов.
Alanine aminotransferase,"Аланинаминотрансфераза. Печеночный фермент, как правило его повышение указывает на проблемы с печенью."
Aspartate transaminase,"Аспартатаминотрансфераза. Печеночный фермент, как правило его повышение указывает на проблемы с печенью."
Blood urea nitrogen,"Азот мочевины крови. Конечный продукт обмена азота в организме, показатель функционального состояния почек и печени."
Creatinine clearance rate,"Клиренс креатинина. Функция почек. Количество крови, которое почки могут очистить от креатинина за одну минуту."
Fasting plasma glucose of final visit,Концентрация глюкозы в плазме крови при последнем посещении
Diabetes diagnosed during followup,Медицинский диагноз в период наблюдения (по медицинским критериям)
censor of diabetes at followup,Конечное состояние - диабет. Медицинский диагноз в период наблюдения ИЛИ Концентрации глюкозы в крови при последнем посещении >= 7)
Year of followup,Сколько лет прошло между первоначальными измерениями и выбыванием из исследования
Smoking status,"Курение. 1: 'current smoker', 2: 'ever smoker', 3: 'never smoker'"
Drinking status,"Употребление алкоголя. 1:'current drinker', 2:'ever drinker', 3: 'never drinker'"
Family histroy of diabetes,"Диабет в семье. 1: 'Yes', 0: 'No'"
